Dependency=proto_bldg_type	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=16	Option=17	Option=18	Option=19	Option=20	Option=21	Option=22	Option=23	Option=24	Option=25	Option=26	Option=27	Option=28	Option=29	Option=30	Option=31	Option=32	Option=33	Option=34	Option=35	Option=36	Option=37	Option=38	Option=39	Option=40	Option=41	Option=42	Option=43	Option=44	Option=45	Option=46	Option=47	Option=48	Option=49	Option=50	Option=over_50
full_service_restaurant	0.00E+00	0.002952841	0.167828957	0.11202811	0.329104538	0.027050278	0.192134671	0.010973724	0.043654536	0.03308241	0.010272725	0.005848397	0.00751907	0.005107001	0.011233353	0.003550356	0.00E+00	0.00E+00	0.004056388	0.008915131	0.016919664	0.00E+00	0.00E+00	0.00E+00	0.004790339	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00297751	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
hospital	0.00E+00	0.00E+00	0.432475687	0.233127834	0.093635997	0.004625788	0.095281716	0.014068195	0.077887418	0.026852222	0.015422029	0.000949271	0.001285706	0.00E+00	0.004388136	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
large_hotel	0.00E+00	0.015891204	0.358811832	0.263211737	0.253863173	0.007171223	0.066157675	0.00302259	0.00E+00	0.014537566	0.000252736	0.00E+00	0.00E+00	0.00E+00	0.012537406	0.00E+00	0.002803581	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001739276	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
medium_office	0.00E+00	0.030474009	0.32194502	0.201144325	0.230927029	0.01199311	0.117857295	0.011508631	0.027310896	0.016133209	0.004770891	0.00E+00	0.009391791	0.00E+00	0.014932021	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.93302E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00150969	0.00E+00	7.27525E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
midrise_apartment	0.00E+00	0.04036049	0.441214104	0.183290003	0.171028486	0.00E+00	0.121022962	0.00E+00	0.00E+00	0.00342263	0.005157742	0.00E+00	0.00E+00	0.00E+00	0.034503584	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
outpatient	0.00E+00	0.008109711	0.423235032	0.207278837	0.182528702	0.001695116	0.117830702	0.012170183	0.010524739	0.027196728	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.008674771	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00075548	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
primary_school	0.00E+00	0.005893903	0.201774664	0.188278906	0.350895134	0.011676683	0.09541023	0.002010752	0.003624664	0.033836104	0.041348491	0.000751045	0.003692803	0.0018302	0.017319913	0.005801613	0.0018302	0.00E+00	0.001580815	0.022091638	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.004644612	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.003071391	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001055424	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001580815	0.00E+00
quick_service_restaurant	0.00E+00	0.00E+00	0.155253766	0.19135628	0.359046052	0.014964554	0.135969902	0.00E+00	0.052541714	0.040090768	0.012964652	0.00E+00	0.005252264	0.00E+00	0.013828391	0.00E+00	0.00E+00	0.00E+00	0.018731658	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
retail	0.00E+00	0.00E+00	0.156556618	0.103317373	0.233440104	0.019658901	0.142776052	0.011750368	0.069687303	0.059721393	0.047088525	0.005589083	0.028428921	0.005698239	0.06369138	0.003456311	0.00069379	0.00E+00	0.011811967	0.008896652	0.00E+00	0.00E+00	0.008043229	0.00E+00	0.01362103	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001085603	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.004987158
secondary_school	0.00E+00	0.00E+00	0.135557796	0.181946205	0.385082658	0.004420641	0.153855762	0.012190552	0.018204776	0.058493815	0.010750885	0.005519096	0.005094202	0.00E+00	0.015338282	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.005586904	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.005943236	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.002015192
